epoch,AUC,Precision,Recall,loss,val_AUC,val_Precision,val_Recall,val_loss
0,0.7808800339698792,0.9552587866783142,0.8304789662361145,0.20486682653427124,0.827968955039978,0.9479326009750366,0.8376184105873108,0.534371018409729
1,0.9475602507591248,0.9835695624351501,0.8862118721008301,0.1074308380484581,0.8454716801643372,0.9565868377685547,0.8646820187568665,0.39369553327560425
2,0.9877133369445801,0.9954559206962585,0.9538461565971375,0.04518947750329971,0.8208566308021545,0.9372385144233704,0.9093369245529175,0.41061821579933167
3,0.9948262572288513,0.9966967105865479,0.9634252786636353,0.03062085062265396,0.7492589354515076,0.9238709807395935,0.968876838684082,0.48387250304222107
4,0.9988882541656494,0.99882972240448,0.9910014271736145,0.010306039825081825,0.693029522895813,0.9190897345542908,0.9837618470191956,0.5535210371017456
5,0.9996855854988098,0.9994165897369385,0.9944847822189331,0.0053526172414422035,0.6760423183441162,0.9115815758705139,0.9905277490615845,0.6482622623443604
6,0.9996125102043152,1.0,0.9968069791793823,0.003584053600206971,0.7148092985153198,0.926701545715332,0.9580514430999756,0.6892739534378052
7,0.9998462796211243,1.0,0.9994194507598877,0.000899576407391578,0.6821799278259277,0.9237726330757141,0.9675236940383911,0.7799674272537231
8,0.9999999403953552,1.0,0.9997097253799438,0.00032853466109372675,0.6775484681129456,0.9232736825942993,0.9769959449768066,0.8517284989356995
9,1.0,1.0,1.0,7.90752237662673e-05,0.6771860122680664,0.9230769276618958,0.97428959608078,0.8663007616996765
10,0.9999963045120239,1.0,0.9997097253799438,0.0003858673444483429,0.6720552444458008,0.9233716726303101,0.9783491492271423,0.8849083781242371
11,1.0,1.0,1.0,6.799044786021113e-05,0.6723371744155884,0.9230769276618958,0.97428959608078,0.9106444120407104
12,0.9999999403953552,1.0,1.0,0.00019857003644574434,0.6910158395767212,0.9285714030265808,0.949932336807251,0.8698190450668335
13,1.0,1.0,1.0,7.890201231930405e-05,0.6685514450073242,0.9222930073738098,0.9797022938728333,0.9828351736068726
14,0.9999992251396179,1.0,0.9997097253799438,0.00030726357363164425,0.6681003570556641,0.9222930073738098,0.9797022938728333,0.9699221253395081
15,1.0,1.0,1.0,6.916536949574947e-05,0.6784183979034424,0.9231753945350647,0.975642740726471,0.9770158529281616
16,1.0,1.0,1.0,2.7879503250005655e-05,0.6783862113952637,0.9230769276618958,0.97428959608078,1.0030865669250488
17,1.0,1.0,1.0,2.3554570361739025e-05,0.67870032787323,0.9231753945350647,0.975642740726471,1.035793662071228
18,1.0,1.0,1.0,2.8864655178040266e-05,0.6729170680046082,0.9231753945350647,0.975642740726471,1.0564903020858765
19,1.0,1.0,1.0,1.3322002814675216e-05,0.6729090213775635,0.9231753945350647,0.975642740726471,1.0702217817306519
20,1.0,1.0,1.0,1.4301042938313913e-05,0.6729493141174316,0.9231753945350647,0.975642740726471,1.0868281126022339
21,1.0,1.0,1.0,1.6025720469770022e-05,0.6735453605651855,0.9231753945350647,0.975642740726471,1.1011979579925537
22,1.0,1.0,1.0,1.2135305951233022e-05,0.6692602634429932,0.9231753945350647,0.975642740726471,1.123162865638733
23,1.0,1.0,1.0,7.4945373853552155e-06,0.6641052961349487,0.9231753945350647,0.975642740726471,1.1350185871124268
24,1.0,1.0,1.0,7.987054232216906e-06,0.6636864542961121,0.9231753945350647,0.975642740726471,1.1420025825500488
25,1.0,1.0,1.0,9.31743488763459e-06,0.6470777988433838,0.9231753945350647,0.975642740726471,1.1610339879989624
26,1.0,1.0,1.0,8.639317456982099e-06,0.6475529670715332,0.9231753945350647,0.975642740726471,1.178881287574768
